"CBLS County-level Summary Data for GA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
227,Pickens County,204,10.9324758842444%,0,0,10687,890,15.9999996423721%,1866
229,Pierce County,125,9.62278675904542%,2,0,6719,817,28.0000001192093%,1299
231,Pike County,36,3.19148936170213%,0,0,5068,821,10.9999999403954%,1128
233,Polk County,368,10.8490566037736%,0,0,15059,3401,17.0000001788139%,3392
235,Pulaski County,99,13.5989010989011%,1,1,3944,568,18.0000007152557%,728
237,Putnam County,192,13.4642356241234%,0,0,10319,726,23.0000004172325%,1426
239,Quitman County,10,5.0251256281407%,0,0,1773,142,25.9999990463257%,199
241,Rabun County,95,9.00473933649289%,0,0,10210,1089,11.9999997317791%,1055
243,Randolph County,30,4.8%,0,0,3402,862,37.0000004768372%,625
245,Richmond County,1035,5.85307922863767%,4,8,82312,11553,28.999999165535%,17683
247,Rockdale County,754,13.1427575387833%,2,1,25082,1068,9.00000035762787%,5737
249,Schley County,20,5.50964187327824%,0,0,1612,218,27.0000010728836%,363
251,Screven County,91,7.62782900251467%,1,0,6853,989,18.9999997615814%,1193
253,Seminole County,83,10.2977667493797%,0,0,4742,564,37.0000004768372%,806
255,Spalding County,300,5.5596738324685%,0,1,23001,3391,23.0000004172325%,5396
257,Stephens County,282,14.476386036961%,1,0,11652,1367,21.9999998807907%,1948
259,Stewart County,14,3.49127182044888%,0,0,2354,527,31.9999992847443%,401
261,Sumter County,321,10.2359693877551%,2,2,13700,2193,37.9999995231628%,3136
263,Talbot County,29,5.51330798479088%,1,0,2871,432,40.0000005960465%,526
265,Taliaferro County,9,6.47482014388489%,0,0,1085,340,18.9999997615814%,139
267,Tattnall County,80,4.7534165181224%,0,1,8578,1136,31.9999992847443%,1683
269,Taylor County,45,5.9445178335535%,1,0,3978,581,34.0000003576279%,757
271,Telfair County,165,18.3333333333333%,3,0,5083,787,31.0000002384186%,900
273,Terrell County,109,10.3710751665081%,0,0,4460,1027,43.9999997615814%,1051
275,Thomas County,694,19.5327891922319%,7,2,18285,3137,23.9999994635582%,3553
277,Tift County,510,14.3581081081081%,6,1,15411,1968,31.0000002384186%,3552
279,Toombs County,378,15.2051488334674%,4,0,11371,1258,40.0000005960465%,2486
281,Towns County,48,9.48616600790514%,0,0,6282,380,10.9999999403954%,506
283,Treutlen County,82,13.9455782312925%,0,0,2865,440,40.9999996423721%,588
285,Troup County,644,12.2573277502855%,3,3,23824,4873,23.0000004172325%,5254
287,Turner County,120,13.172338090011%,3,0,3916,676,40.9999996423721%,911
289,Twiggs County,41,4.91606714628297%,0,0,4291,517,25.9999990463257%,834
291,Union County,131,12.1973929236499%,0,0,10001,572,14.0000000596046%,1074
293,Upson County,50,2.23914017017465%,0,1,11616,2598,20.0000002980232%,2233
295,Walker County,541,11.3536201469045%,2,0,25577,4874,18.9999997615814%,4765
