"CBLS County-level Summary Data for GA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
207,Monroe County,57,3.4000001847744%,0,0%,0,8425,927,15.9999996423721%,1681
209,Montgomery County,59,8.20000022649765%,0,0%,0,3492,585,21.9999998807907%,722
211,Morgan County,71,5.20000010728836%,0,0%,0,6128,1102,18.0000007152557%,1353
213,Murray County,370,9.6000000834465%,2,0.540540540540541%,0,14320,998,20.0000002980232%,3851
215,Muscogee County,642,3.59999984502792%,6,0.934579439252336%,0,76182,11631,25%,17686
217,Newton County,838,9.6000000834465%,1,0.119331742243437%,1,23033,1998,14.0000000596046%,8768
219,Oconee County,76,3.29999998211861%,0,0%,0,9528,707,10.0000001490116%,2280
221,Oglethorpe County,36,3.29999998211861%,0,0%,0,5368,826,15.9999996423721%,1096
223,Paulding County,461,3.90000008046627%,0,0%,0,29274,1456,5.00000007450581%,11885
225,Peach County,240,12.3999997973442%,0,0%,0,9093,979,33.0000013113022%,1938
227,Pickens County,158,7.40000009536743%,0,0%,0,10687,890,15.9999996423721%,2125
229,Pierce County,100,6.59999996423721%,0,0%,0,6719,817,28.0000001192093%,1504
231,Pike County,54,4.39999997615814%,0,0%,0,5068,821,10.9999999403954%,1217
233,Polk County,316,7.90000036358833%,1,0.316455696202532%,0,15059,3401,17.0000001788139%,3977
235,Pulaski County,104,14.3999993801117%,0,0%,1,3944,568,18.0000007152557%,721
237,Putnam County,154,10.4999996721745%,0,0%,0,10319,726,23.0000004172325%,1468
239,Quitman County,,,,,,1773,142,25.9999990463257%,180
241,Rabun County,74,6.49999976158142%,0,0%,0,10210,1089,11.9999997317791%,1134
243,Randolph County,49,7.99999982118607%,1,2.04081632653061%,0,3402,862,37.0000004768372%,611
245,Richmond County,1309,7.10000023245811%,6,0.458365164247517%,7,82312,11553,28.999999165535%,18348
247,Rockdale County,678,10.1000003516674%,2,0.294985250737463%,1,25082,1068,9.00000035762787%,6702
249,Schley County,27,8.29999968409538%,0,0%,0,1612,218,27.0000010728836%,325
251,Screven County,157,14.1000002622604%,0,0%,0,6853,989,18.9999997615814%,1113
253,Seminole County,76,10.9999999403954%,0,0%,0,4742,564,37.0000004768372%,692
255,Spalding County,334,5.90000003576279%,1,0.29940119760479%,1,23001,3391,23.0000004172325%,5653
257,Stephens County,200,10.5999998748302%,1,0.5%,0,11652,1367,21.9999998807907%,1891
259,Stewart County,14,4.19999994337559%,0,0%,0,2354,527,31.9999992847443%,334
261,Sumter County,254,8.69999974966049%,1,0.393700787401575%,2,13700,2193,37.9999995231628%,2924
263,Talbot County,24,5.09999990463257%,1,4.16666666666667%,0,2871,432,40.0000005960465%,473
265,Taliaferro County,19,14.300000667572%,1,5.26315789473684%,0,1085,340,18.9999997615814%,133
267,Tattnall County,73,3.70000004768372%,1,1.36986301369863%,1,8578,1136,31.9999992847443%,1984
269,Taylor County,35,5.09999990463257%,0,0%,0,3978,581,34.0000003576279%,681
271,Telfair County,114,11.6999998688698%,2,1.75438596491228%,0,5083,787,31.0000002384186%,975
273,Terrell County,124,13.1999999284744%,1,0.806451612903226%,0,4460,1027,43.9999997615814%,940
275,Thomas County,571,15.6000003218651%,2,0.350262697022767%,4,18285,3137,23.9999994635582%,3661
277,Tift County,483,12.6000002026558%,0,0%,2,15411,1968,31.0000002384186%,3843
279,Toombs County,364,14.2000004649162%,3,0.824175824175824%,1,11371,1258,40.0000005960465%,2567
281,Towns County,49,9.6000000834465%,0,0%,0,6282,380,10.9999999403954%,509
283,Treutlen County,81,15.7000005245209%,0,0%,0,2865,440,40.9999996423721%,515
285,Troup County,557,9.89999994635582%,4,0.718132854578097%,3,23824,4873,23.0000004172325%,5622
287,Turner County,133,16.0999998450279%,1,0.75187969924812%,0,3916,676,40.9999996423721%,824
289,Twiggs County,51,7.00000002980232%,1,1.96078431372549%,0,4291,517,25.9999990463257%,731
291,Union County,143,12.7000004053116%,0,0%,0,10001,572,14.0000000596046%,1130
293,Upson County,127,6.10000006854534%,1,0.78740157480315%,0,11616,2598,20.0000002980232%,2074
295,Walker County,520,11.1000001430511%,1,0.192307692307692%,0,25577,4874,18.9999997615814%,4698
297,Walton County,361,5.29999993741512%,0,0%,0,22500,2229,14.0000000596046%,6823
299,Ware County,226,7.90000036358833%,1,0.442477876106195%,0,15831,2899,30.0000011920929%,2866
301,Warren County,22,4.6000000089407%,0,0%,0,2767,516,31.0000002384186%,483
303,Washington County,93,5.90000003576279%,0,0%,0,8327,1433,33.0000013113022%,1564
305,Wayne County,365,15.8000007271767%,0,0%,0,10827,1265,21.9999998807907%,2305
307,Webster County,12,7.69999995827675%,0,0%,0,1115,248,28.0000001192093%,155
309,Wheeler County,51,11.599999666214%,0,0%,0,2447,415,34.0000003576279%,441
311,White County,142,8.10000002384186%,0,0%,0,9454,617,15.0000005960464%,1760
313,Whitfield County,1385,12.8999993205071%,3,0.216606498194946%,1,30722,2849,12.9999995231628%,10726
315,Wilcox County,73,12.3999997973442%,1,1.36986301369863%,0,3320,674,31.0000002384186%,587
317,Wilkes County,80,10.9999999403954%,1,1.25%,0,5022,978,21.9999998807907%,728
319,Wilkinson County,73,8.79999995231628%,1,1.36986301369863%,0,4449,602,27.0000010728836%,833
321,Worth County,142,8.20000022649765%,0,0%,0,9086,1067,21.9999998807907%,1725
999,Unknown,7486,,17,0.22709056906225%,5,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Georgia Total Confirmed Cases 2006,,119,,,,,,,,
