"CBLS County-level Summary Data for GA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
189,McDuffie County,107,5.40000014007092%,0,0%,0,8916,1109,25.9999990463257%,1987
191,McIntosh County,114,12.8999993205071%,0,0%,0,5735,443,23.9999994635582%,883
193,Macon County,82,7.90000036358833%,1,1.21951219512195%,0,5495,919,41.9999986886978%,1042
195,Madison County,180,8.29999968409538%,0,0%,0,10520,1237,15.9999996423721%,2160
197,Marion County,13,2.09999997168779%,0,0%,0,3130,249,44.9999988079071%,607
199,Meriwether County,192,10.4000002145767%,1,0.520833333333333%,0,9211,1981,27.0000010728836%,1852
201,Miller County,32,6.10000006854534%,0,0%,0,2770,502,40.9999996423721%,523
205,Mitchell County,291,14.3999993801117%,2,0.687285223367698%,0,8880,1395,40.0000005960465%,2024
207,Monroe County,69,3.90000008046627%,0,0%,0,8425,927,15.9999996423721%,1786
209,Montgomery County,26,3.79999987781048%,0,0%,0,3492,585,21.9999998807907%,677
211,Morgan County,90,6.1999998986721%,0,0%,0,6128,1102,18.0000007152557%,1453
213,Murray County,580,15.5000001192093%,0,0%,0,14320,998,20.0000002980232%,3739
215,Muscogee County,340,1.89999993890524%,0,0%,0,76182,11631,25%,17520
217,Newton County,711,7.10000023245811%,1,0.140646976090014%,0,23033,1998,14.0000000596046%,10070
219,Oconee County,106,4.30000014603138%,0,0%,0,9528,707,10.0000001490116%,2480
221,Oglethorpe County,56,5.29999993741512%,1,1.78571428571429%,0,5368,826,15.9999996423721%,1051
223,Paulding County,542,3.99999991059303%,0,0%,0,29274,1456,5.00000007450581%,13705
225,Peach County,234,10.1999998092651%,0,0%,0,9093,979,33.0000013113022%,2284
227,Pickens County,216,9.30000022053719%,0,0%,0,10687,890,15.9999996423721%,2332
229,Pierce County,87,5.09999990463257%,0,0%,0,6719,817,28.0000001192093%,1713
231,Pike County,79,5.79999983310699%,0,0%,0,5068,821,10.9999999403954%,1366
233,Polk County,240,5.70000000298023%,0,0%,0,15059,3401,17.0000001788139%,4247
235,Pulaski County,90,12.2000001370907%,0,0%,0,3944,568,18.0000007152557%,740
237,Putnam County,106,6.59999996423721%,0,0%,0,10319,726,23.0000004172325%,1606
239,Quitman County,6,2.80000008642673%,0,0%,0,1773,142,25.9999990463257%,216
241,Rabun County,115,9.7000002861023%,1,0.869565217391304%,0,10210,1089,11.9999997317791%,1186
