"CBLS County-level Summary Data for GA, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
227,Pickens County,130,1,0,0%,0,10687,890,15.9999996423721%
229,Pierce County,238,6,0,0%,0,6719,817,28.0000001192093%
231,Pike County,55,1,0,0%,0,5068,821,10.9999999403954%
233,Polk County,126,6,0,0%,0,15059,3401,17.0000001788139%
235,Pulaski County,114,14,0,0%,0,3944,568,18.0000007152557%
237,Putnam County,146,4,0,0%,0,10319,726,23.0000004172325%
239,Quitman County,n,n,n,n,n,1773,142,25.9999990463257%
241,Rabun County,74,.,0,0%,0,10210,1089,11.9999997317791%
243,Randolph County,68,9,0,0%,0,3402,862,37.0000004768372%
245,Richmond County,498,27,5,0.999999977648258%,0,82312,11553,28.999999165535%
247,Rockdale County,552,13,0,0%,0,25082,1068,9.00000035762787%
249,Schley County,10,.,0,0%,0,1612,218,27.0000010728836%
251,Screven County,92,2,0,0%,0,6853,989,18.9999997615814%
253,Seminole County,17,1,0,0%,0,4742,564,37.0000004768372%
255,Spalding County,773,33,2,0.300000002607703%,0,23001,3391,23.0000004172325%
257,Stephens County,167,7,0,0%,0,11652,1367,21.9999998807907%
259,Stewart County,13,1,0,0%,0,2354,527,31.9999992847443%
261,Sumter County,210,14,0,0%,0,13700,2193,37.9999995231628%
263,Talbot County,31,.,0,0%,0,2871,432,40.0000005960465%
265,Taliaferro Coun,n,n,n,n,n,1085,340,18.9999997615814%
267,Tattnall County,203,6,0,0%,1,8578,1136,31.9999992847443%
269,Taylor County,24,2,0,0%,0,3978,581,34.0000003576279%
271,Telfair County,74,7,0,0%,0,5083,787,31.0000002384186%
273,Terrell County,37,1,0,0%,0,4460,1027,43.9999997615814%
275,Thomas County,951,12,3,0.300000002607703%,0,18285,3137,23.9999994635582%
277,Tift County,32,2,1,3.09999994933605%,0,15411,1968,31.0000002384186%
279,Toombs County,162,4,7,4.30000014603138%,1,11371,1258,40.0000005960465%
281,Towns County,38,.,0,0%,0,6282,380,10.9999999403954%
283,Treutlen County,48,3,0,0%,0,2865,440,40.9999996423721%
285,Troup County,215,21,1,0.499999988824129%,0,23824,4873,23.0000004172325%
287,Turner County,11,2,0,0%,0,3916,676,40.9999996423721%
289,Twiggs County,46,2,0,0%,0,4291,517,25.9999990463257%
291,Union County,66,2,0,0%,0,10001,572,14.0000000596046%
293,Upson County,115,6,0,0%,0,11616,2598,20.0000002980232%
295,Walker County,211,6,0,0%,0,25577,4874,18.9999997615814%
297,Walton County,409,9,1,0.20000000949949%,0,22500,2229,14.0000000596046%
299,Ware County,521,14,1,0.20000000949949%,0,15831,2899,30.0000011920929%
301,Warren County,8,1,0,0%,0,2767,516,31.0000002384186%
303,Washington Coun,67,11,0,0%,0,8327,1433,33.0000013113022%
305,Wayne County,637,38,0,0%,0,10827,1265,21.9999998807907%
307,Webster County,n,n,n,n,n,1115,248,28.0000001192093%
309,Wheeler County,29,2,0,0%,0,2447,415,34.0000003576279%
311,White County,166,7,0,0%,0,9454,617,15.0000005960464%
313,Whitfield Count,462,10,2,0.400000018998981%,0,30722,2849,12.9999995231628%
315,Wilcox County,80,10,0,0%,0,3320,674,31.0000002384186%
317,Wilkes County,26,2,0,0%,0,5022,978,21.9999998807907%
319,Wilkinson Count,93,3,0,0%,0,4449,602,27.0000010728836%
321,Worth County,25,1,0,0%,0,9086,1067,21.9999998807907%
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
