"CBLS County-level Summary Data for IN, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
161,Union County,96,18.1999996304512%,0,0%,0,3077,1202,14.0000000596046%,528
163,Vanderburgh County,1593,11.599999666214%,38,2.38543628374137%,15,76300,26808,20.0000002980232%,13759
165,Vermillion County,74,5.99999986588955%,0,0%,0,7405,3850,11.9999997317791%,1228
167,Vigo County,501,6.49999976158142%,19,3.79241516966068%,7,45203,18676,20.0000002980232%,7655
169,Wabash County,211,9.39999967813492%,0,0%,0,14034,6208,12.9999995231628%,2250
171,Warren County,37,6.89999982714653%,1,2.7027027027027%,0,3477,1465,15.0000005960464%,538
173,Warrick County,147,3.59999984502792%,1,0.680272108843537%,0,20546,3246,7.99999982118607%,4130
175,Washington County,183,8.39999988675118%,2,1.09289617486339%,0,11191,2822,15.9999996423721%,2168
177,Wayne County,689,13.0999997258186%,10,1.45137880986938%,5,30468,13299,18.9999997615814%,5251
179,Wells County,149,7.19999969005585%,1,0.671140939597315%,0,10970,4211,10.9999999403954%,2078
181,White County,123,6.40000030398369%,1,0.813008130081301%,1,12083,3643,7.99999982118607%,1929
183,Whitley County,94,3.79999987781048%,0,0%,0,12545,4477,5.99999986588955%,2481
185,Unknown,,,,,,,,,
999,Unknown,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Indiana Total Confirmed Cases 2006,,547,,,,,,,,
