"CBLS County-level Summary Data for IN, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
145,Shelby County,146,4.30000014603138%,3,2.05479452054794%,0,17633,6262,12.9999995231628%,3360
147,Spencer County,219,15.3999999165535%,0,0%,0,8333,2101,9.00000035762787%,1418
149,Starke County,149,8.50000008940697%,0,0%,0,10201,3155,18.0000007152557%,1751
151,Steuben County,158,6.3000001013279%,2,1.26582278481013%,0,17337,4676,9.00000035762787%,2497
153,Sullivan County,133,9.6000000834465%,0,0%,0,8804,3706,18.0000007152557%,1386
155,Switzerland County,38,5.70000000298023%,0,0%,0,4226,1238,20.0000002980232%,672
157,Tippecanoe County,1743,14.1000002622604%,5,0.286861732644865%,1,58343,12421,18.9999997615814%,12326
159,Tipton County,85,7.19999969005585%,1,1.17647058823529%,0,6848,2848,5.99999986588955%,1184
161,Union County,94,17.2999992966652%,0,0%,0,3077,1202,14.0000000596046%,544
163,Vanderburgh County,2203,15.6000003218651%,37,1.67952791647753%,16,76300,26808,20.0000002980232%,14128
165,Vermillion County,62,5.09999990463257%,1,1.61290322580645%,0,7405,3850,11.9999997317791%,1220
167,Vigo County,129,1.7000000923872%,2,1.55038759689923%,0,45203,18676,20.0000002980232%,7569
169,Wabash County,224,10.1999998092651%,1,0.446428571428571%,0,14034,6208,12.9999995231628%,2193
171,Warren County,52,9.49999988079071%,1,1.92307692307692%,0,3477,1465,15.0000005960464%,549
173,Warrick County,265,6.3000001013279%,1,0.377358490566038%,0,20546,3246,7.99999982118607%,4232
175,Washington County,245,11.6999998688698%,2,0.816326530612245%,0,11191,2822,15.9999996423721%,2094
177,Wayne County,23,0.400000018998981%,0,0%,0,30468,13299,18.9999997615814%,5191
179,Wells County,180,8.69999974966049%,1,0.555555555555556%,0,10970,4211,10.9999999403954%,2067
181,White County,191,10.3000000119209%,2,1.04712041884817%,0,12083,3643,7.99999982118607%,1858
183,Whitley County,105,4.10000011324883%,0,0%,0,12545,4477,5.99999986588955%,2581
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Indiana 2007 Confirmed Cases,,561,,,,,,,
