"CBLS County-level Summary Data for IN, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
171,Warren County,41,7.50000029802322%,1,2.4390243902439%,0,3477,1465,15.0000005960464%,550
173,Warrick County,319,7.40000009536743%,2,0.626959247648903%,0,20546,3246,7.99999982118607%,4283
175,Washington County,190,9.0999998152256%,1,0.526315789473684%,0,11191,2822,15.9999996423721%,2094
177,Wayne County,995,19.0999999642372%,32,3.21608040201005%,3,30468,13299,18.9999997615814%,5202
179,Wells County,221,10.5999998748302%,3,1.35746606334842%,0,10970,4211,10.9999999403954%,2087
181,White County,165,8.90000015497208%,4,2.42424242424242%,1,12083,3643,7.99999982118607%,1856
183,Whitley County,142,5.60000017285347%,1,0.704225352112676%,0,12545,4477,5.99999986588955%,2527
999,Unknown,n,,n,,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,Indiana Confirmed Cases 2008,,566,,,,,,,
