"CBLS County-level Summary Data for IA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
049,Dallas County,874,22.3586595037094%,12,0,16529,5108,7.00000002980232%,3909
051,Davis County,128,18.2336182336182%,3,0,3530,1607,11.9999997317791%,702
053,Decatur County,132,22.8373702422145%,1,1,3833,1672,12.9999995231628%,578
055,Delaware County,196,13.0579613590939%,3,1,7682,3325,9.00000035762787%,1501
057,Des Moines County,825,26.2404580152672%,24,6,18643,9412,20.9999993443489%,3144
059,Dickinson County,82,7.93036750483559%,0,0,11375,2993,10.0000001490116%,1034
061,Dubuque County,1043,14.6283309957924%,46,19,35505,13795,10.0000001490116%,7130
063,Emmet County,111,16.0636758321274%,1,0,4889,2650,7.99999982118607%,691
065,Fayette County,420,25.8780036968577%,10,2,9505,5150,14.0000000596046%,1623
067,Floyd County,246,19.8707592891761%,7,2,7317,3401,15.0000005960464%,1238
069,Franklin County,340,48.8505747126437%,6,3,4763,2719,7.00000002980232%,696
