"CBLS County-level Summary Data for KY, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
133,Letcher County,7,.,0,0%,0,11405,2917,34.0000003576279%
135,Lewis County,5,2,0,0%,0,6173,1172,33.0000013113022%
137,Lincoln County,242,7,0,0%,0,10127,1784,28.999999165535%
139,Livingston Coun,9,.,0,0%,0,4772,780,9.00000035762787%
141,Logan County,30,1,0,0%,0,11875,2581,23.9999994635582%
143,Lyon County,n,n,n,n,n,4189,352,20.0000002980232%
145,McCracken Count,646,9,0,0%,0,30361,6029,23.0000004172325%
147,McCreary County,130,5,0,0%,0,7405,816,40.9999996423721%
149,McLean County,6,.,0,0%,0,4392,910,25.9999990463257%
151,Madison County,33,2,0,0%,0,29595,3614,20.9999993443489%
153,Magoffin County,202,.,0,0%,0,5447,649,49.0000009536743%
155,Marion County,157,9,0,0%,0,7277,1768,23.9999994635582%
157,Marshall County,265,4,0,0%,0,14730,1523,14.0000000596046%
159,Martin County,160,2,0,0%,0,5551,504,51.9999980926514%
161,Mason County,8,1,0,0%,0,7754,2873,28.999999165535%
163,Meade County,27,1,0,0%,0,10293,1064,18.0000007152557%
165,Menifee County,76,2,0,0%,0,3710,347,55.0000011920929%
167,Mercer County,121,2,0,0%,0,9289,1989,18.0000007152557%
169,Metcalfe County,39,1,0,0%,0,4592,1042,31.9999992847443%
171,Monroe County,63,1,0,0%,0,5288,989,34.0000003576279%
173,Montgomery Coun,15,.,0,0%,0,9682,1452,18.9999997615814%
175,Morgan County,127,.,0,0%,0,5487,865,41.9999986886978%
177,Muhlenberg Coun,173,4,0,0%,0,13675,2749,25.9999990463257%
179,Nelson County,186,1,0,0%,0,14934,2134,18.9999997615814%
181,Nicholas County,81,2,0,0%,0,3051,1111,12.9999995231628%
185,Oldham County,35,.,0,0%,0,15541,1117,5.00000007450581%
187,Owen County,5,.,0,0%,0,5345,1174,21.9999998807907%
191,Pendleton Count,n,n,n,n,n,5756,1447,15.9999996423721%
193,Perry County,11,.,0,0%,0,12741,2044,40.0000005960465%
197,Powell County,18,.,0,0%,0,5526,394,36.0000014305115%
199,Pulaski County,83,1,0,0%,0,27181,4148,30.0000011920929%
201,Robertson Count,19,4,0,0%,0,1034,410,36.0000014305115%
203,Rockcastle Coun,63,2,0,0%,0,7353,1206,30.0000011920929%
205,Rowan County,230,2,0,0%,0,8985,931,27.0000010728836%
207,Russell County,117,2,0,0%,0,9064,1034,34.0000003576279%
209,Scott County,238,5,0,0%,0,12977,2073,12.9999995231628%
211,Shelby County,16,.,0,0%,0,12857,2411,12.9999995231628%
213,Simpson County,9,1,0,0%,0,7016,1439,15.0000005960464%
215,Spencer County,23,1,0,0%,0,4555,662,9.00000035762787%
217,Taylor County,79,1,0,0%,0,10180,1779,25%
219,Todd County,6,.,0,0%,0,5121,1270,25%
221,Trigg County,n,n,n,n,n,6698,664,15.0000005960464%
223,Trimble County,26,.,0,0%,0,3437,666,11.9999997317791%
225,Union County,12,3,0,0%,0,6234,1541,18.0000007152557%
227,Warren County,111,4,2,1.79999992251396%,0,38350,4950,20.0000002980232%
231,Wayne County,67,2,0,0%,0,9789,1506,37.0000004768372%
233,Webster County,11,.,0,0%,0,6250,1924,17.0000001788139%
235,Whitley County,234,8,0,0%,0,15288,2241,38.9999985694885%
237,Wolfe County,9,.,0,0%,0,3264,414,46.000000834465%
239,Woodford County,9,.,0,0%,0,9374,1737,9.00000035762787%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2009-2013",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
