"CBLS County-level Summary Data for KY, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
223,Trimble County,52,7.59999975562096%,0,0%,0,3437,666,11.9999997317791%,686
225,Union County,276,27.3000001907349%,4,1.44927536231884%,1,6234,1541,18.0000007152557%,1010
227,Warren County,351,4.19999994337559%,0,0%,1,38350,4950,20.0000002980232%,8309
229,Washington County,44,5.09999990463257%,0,0%,0,4542,1527,15.0000005960464%,859
231,Wayne County,147,10.0000001490116%,0,0%,0,9789,1506,37.0000004768372%,1477
233,Webster County,352,31.700000166893%,3,0.852272727272727%,1,6250,1924,17.0000001788139%,1110
235,Whitley County,281,9.89999994635582%,0,0%,0,15288,2241,38.9999985694885%,2838
237,Wolfe County,37,5.70000000298023%,2,5.40540540540541%,0,3264,414,46.000000834465%,648
239,Woodford County,25,1.40000004321337%,0,0%,0,9374,1737,9.00000035762787%,1804
180,Unknown,n,,n,#VALUE!,n,,,,
540,Unknown,n,,n,#VALUE!,n,,,,
999,Unknown,13,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Kentucky 2007 Confirmed Cases,,71,,,,,,,
