"CBLS County-level Summary Data for KY, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
197,Powell County,82,7.29999989271164%,0,0%,0,5526,394,36.0000014305115%,1120
199,Pulaski County,368,8.29999968409538%,0,0%,0,27181,4148,30.0000011920929%,4455
201,Robertson County,29,21.1999997496605%,3,10.3448275862069%,1,1034,410,36.0000014305115%,137
203,Rockcastle County,67,5.20000010728836%,0,0%,0,7353,1206,30.0000011920929%,1300
205,Rowan County,250,17.5999999046326%,0,0%,0,8985,931,27.0000010728836%,1423
207,Russell County,76,6.10000006854534%,1,1.31578947368421%,0,9064,1034,34.0000003576279%,1254
209,Scott County,73,1.99999995529652%,0,0%,0,12977,2073,12.9999995231628%,3656
211,Shelby County,16,0.499999988824129%,0,0%,0,12857,2411,12.9999995231628%,3254
213,Simpson County,7,0.499999988824129%,0,0%,0,7016,1439,15.0000005960464%,1305
215,Spencer County,,,,,,4555,662,9.00000035762787%,1255
217,Taylor County,67,3.99999991059303%,0,0%,0,10180,1779,25%,1691
219,Todd County,8,0.700000021606684%,0,0%,0,5121,1270,25%,1114
221,Trigg County,11,1.30000002682209%,0,0%,0,6698,664,15.0000005960464%,862
223,Trimble County,6,0.899999961256981%,0,0%,0,3437,666,11.9999997317791%,671
225,Union County,50,4.80000004172325%,1,2%,0,6234,1541,18.0000007152557%,1041
227,Warren County,78,0.999999977648258%,1,1.28205128205128%,1,38350,4950,20.0000002980232%,7970
229,Washington County,33,3.90000008046627%,0,0%,0,4542,1527,15.0000005960464%,851
231,Wayne County,89,5.99999986588955%,0,0%,0,9789,1506,37.0000004768372%,1491
233,Webster County,99,8.50000008940697%,0,0%,0,6250,1924,17.0000001788139%,1159
235,Whitley County,141,5.09999990463257%,0,0%,0,15288,2241,38.9999985694885%,2774
237,Wolfe County,20,2.8999999165535%,0,0%,0,3264,414,46.000000834465%,686
239,Woodford County,12,0.700000021606684%,0,0%,0,9374,1737,9.00000035762787%,1814
999,Unknown,24,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Kentucky Total Confirmed Cases 2006,,56,,,,,,,,
