"CBLS County-level Summary Data for MN, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
039,Dodge County,176,10.1000003516674%,0,0%,0,6642,2356,7.00000002980232%,1736
041,Douglas County,415,16.4000004529953%,1,0.240963855421687%,0,16694,4289,10.9999999403954%,2528
043,Faribault County,160,16.3000002503395%,2,1.25%,0,7247,4088,14.0000000596046%,983
045,Fillmore County,155,9.39999967813492%,1,0.645161290322581%,1,8908,4796,18.0000007152557%,1646
047,Freeborn County,281,12.6000002026558%,6,2.13523131672598%,3,13996,6114,11.9999997317791%,2225
049,Goodhue County,400,11.8000000715256%,3,0.75%,0,17879,6549,5.99999986588955%,3381
051,Grant County,67,17.399999499321%,0,0%,0,3098,1490,12.9999995231628%,385
053,Hennepin County,13276,14.1000002622604%,157,1.18258511599879%,58,468824,134969,10.9999999403954%,94348
055,Houston County,152,11.8000000715256%,1,0.657894736842105%,0,8168,2995,7.00000002980232%,1289
057,Hubbard County,95,7.29999989271164%,0,0%,0,12229,2663,14.0000000596046%,1307
059,Isanti County,532,17.2999992966652%,1,0.18796992481203%,0,12062,2567,5.99999986588955%,3067
061,Itasca County,542,18.4000000357628%,1,0.18450184501845%,0,24528,5726,18.0000007152557%,2943
063,Jackson County,66,9.79999974370003%,0,0%,0,5092,2582,12.9999995231628%,671
065,Kanabec County,144,13.1999999284744%,1,0.694444444444444%,0,6846,1735,11.9999997317791%,1091
067,Kandiyohi County,683,20.3999996185303%,1,0.146412884333821%,3,18415,4978,14.0000000596046%,3342
069,Kittson County,30,12.9999995231628%,0,0%,0,2719,1170,11.9999997317791%,230
071,Koochiching County,138,18.0999994277954%,0,0%,0,7719,2265,18.9999997615814%,761
073,Lac qui Parle County,72,18.1999996304512%,0,0%,0,3774,2194,10.9999999403954%,395
075,Lake County,150,25.0999987125397%,0,0%,0,6840,1918,18.0000007152557%,598
077,Lake of the Woods County,54,21.9999998807907%,0,0%,0,3238,654,10.0000001490116%,245
079,Le Sueur County,295,13.6000007390976%,4,1.35593220338983%,0,10858,4002,7.00000002980232%,2163
081,Lincoln County,37,9.6000000834465%,1,2.7027027027027%,0,3043,1531,10.0000001490116%,387
083,Lyon County,397,21.6000005602837%,3,0.755667506297229%,1,10298,3695,12.9999995231628%,1834
085,McLeod County,547,17.0000001788139%,1,0.182815356489945%,0,14087,4121,5.00000007450581%,3215
087,Mahnomen County,62,13.8999998569489%,0,0%,0,2700,1045,23.0000004172325%,446
089,Marshall County,58,9.00000035762787%,0,0%,0,4791,1915,12.9999995231628%,643
091,Martin County,281,20.9000006318092%,3,1.06761565836299%,0,9800,4522,15.9999996423721%,1342
093,Meeker County,274,14.5999997854233%,2,0.72992700729927%,0,9821,3597,7.99999982118607%,1872
095,Mille Lacs County,297,13.5000005364418%,0,0%,0,10467,2941,12.9999995231628%,2197
097,Morrison County,411,15.8999994397163%,1,0.24330900243309%,0,13870,4347,17.0000001788139%,2589
099,Mower County,349,11.1000001430511%,2,0.573065902578797%,1,16251,7469,11.9999997317791%,3142
101,Murray County,67,12.3000003397465%,0,0%,0,4357,2125,10.9999999403954%,544
103,Nicollet County,372,16.4000004529953%,5,1.34408602150538%,0,11240,3314,10.9999999403954%,2266
105,Nobles County,407,22.4000006914139%,0,0%,1,8465,3586,17.0000001788139%,1815
107,Norman County,50,11.9000002741814%,1,2%,0,3455,1651,17.0000001788139%,420
109,Olmsted County,857,6.8000003695488%,6,0.700116686114352%,4,49422,8883,7.00000002980232%,12680
111,Otter Tail County,315,8.69999974966049%,1,0.317460317460317%,0,33862,10372,15.9999996423721%,3630
113,Pennington County,105,9.6000000834465%,0,0%,0,6033,2102,10.9999999403954%,1090
115,Pine County,297,15.0000005960464%,2,0.673400673400673%,1,15353,3736,20.9999993443489%,1978
117,Pipestone County,37,5.20000010728836%,0,0%,0,4434,2140,17.0000001788139%,708
119,Polk County,268,11.9999997317791%,3,1.11940298507463%,0,14008,5117,15.9999996423721%,2230
121,Pope County,103,14.1000002622604%,1,0.970873786407767%,0,5827,2369,10.0000001490116%,731
123,Ramsey County,7952,19.4000005722046%,118,1.48390342052314%,43,206448,72654,15.9999996423721%,40917
125,Red Lake County,24,8.50000008940697%,0,0%,0,1883,809,15.9999996423721%,281
127,Redwood County,206,17.9000005125999%,2,0.970873786407767%,0,7230,3367,10.0000001490116%,1151
129,Renville County,218,18.7999993562698%,0,0%,2,7413,3576,12.9999995231628%,1162
131,Rice County,781,16.6999995708466%,6,0.768245838668374%,2,20061,6245,7.00000002980232%,4675
133,Rock County,58,7.59999975562096%,0,0%,1,4137,1958,9.00000035762787%,766
135,Roseau County,115,9.00000035762787%,0,0%,0,7101,1619,7.00000002980232%,1280
137,St. Louis County,2771,22.4999994039536%,16,0.577408877661494%,5,95800,42088,17.0000001788139%,12321
139,Scott County,1499,11.1000001430511%,1,0.066711140760507%,0,31609,3236,1.99999995529652%,13546
141,Sherburne County,1371,16.5000006556511%,4,0.291757840991977%,0,22827,2046,2.99999993294477%,8291
143,Sibley County,184,15.0999993085861%,3,1.6304347826087%,1,6024,2896,12.9999995231628%,1216
145,Stearns County,2360,21.0999995470047%,8,0.338983050847458%,1,50291,11510,7.99999982118607%,11209
147,Steele County,555,17.399999499321%,4,0.720720720720721%,1,13306,4402,9.00000035762787%,3188
149,Stevens County,88,14.8000001907349%,1,1.13636363636364%,0,4074,1578,10.9999999403954%,596
151,Swift County,110,16.8999999761581%,0,0%,0,4821,2387,10.0000001490116%,652
153,Todd County,311,17.399999499321%,0,0%,1,11900,4399,18.0000007152557%,1788
155,Traverse County,43,20.9000006318092%,0,0%,0,2199,1104,15.0000005960464%,206
157,Wabasha County,177,11.2999998033047%,0,0%,0,9066,3327,7.99999982118607%,1561
159,Wadena County,163,15.5000001192093%,0,0%,0,6334,2137,20.0000002980232%,1051
161,Waseca County,259,16.5000006556511%,0,0%,0,7427,2926,7.99999982118607%,1570
163,Washington County,2147,11.5000002086163%,4,0.186306474149977%,2,73635,8254,2.99999993294477%,18638
165,Watonwan County,157,18.0999994277954%,1,0.636942675159236%,0,5036,2523,18.0000007152557%,869
167,Wilkin County,56,12.7000004053116%,1,1.78571428571429%,0,3105,1343,10.9999999403954%,440
169,Winona County,285,9.0999998152256%,6,2.10526315789474%,4,19551,8332,12.9999995231628%,3133
171,Wright County,1638,13.1999999284744%,2,0.122100122100122%,1,34355,6118,5.99999986588955%,12381
173,Yellow Medicine County,120,17.0000001788139%,1,0.833333333333333%,0,4873,2542,10.9999999403954%,707
999,Unknown,3818,,0,0%,1,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Minnesota 2007 Confirmed Cases,,414,,,,,,,
