"CBLS County-level Summary Data for VA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
720,Norton (city),54,24.2152466367713%,,0%,1946,517,46.000000834465%,223
730,Petersburg (city),890,28.407277369933%,14,1.57303370786517%,15955,3965,31.0000002384186%,3133
735,Poquoson (city),37,5.85443037974684%,,0%,4300,544,7.00000002980232%,632
740,Portsmouth (city),1440,16.0786065207682%,9,0.625%,41605,12267,28.0000001192093%,8956
750,Radford (city),89,11.9143239625167%,,0%,6137,1432,12.9999995231628%,747
760,Richmond (city),5660,32.9587142607582%,58,1.02473498233216%,92282,38192,33.0000013113022%,17173
770,Roanoke (city),1421,18.7121411640769%,13,0.91484869809993%,45257,15874,28.0000001192093%,7594
775,Salem (city),355,23.202614379085%,,0%,10403,2188,5.00000007450581%,1530
790,Staunton (city),572,36.3636363636364%,2,0.34965034965035%,10427,3629,14.0000000596046%,1573
800,Suffolk (city),795,11.008031016339%,9,1.13207547169811%,24704,4527,17.0000001788139%,7222
810,Virginia Beach (city),2670,7.33980262253622%,,0%,162277,5023,9.00000035762787%,36377
820,Waynesboro (city),545,30.3959843837144%,3,0.55045871559633%,8863,2355,23.0000004172325%,1793
830,Williamsburg (city),4,0.41407867494824%,,0%,3880,739,37.9999995231628%,966
840,Winchester (city),447,18.0971659919028%,5,1.11856823266219%,10587,3387,20.0000002980232%,2470
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Virginia Confirmed Cases 2009,,337,,,,,,
