"CBLS County-level Summary Data for VA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
193,Westmoreland County,133,11.2999998033047%,1,0.75187969924812%,0,9286,1990,25%,1172
195,Wise County,181,6.40000030398369%,3,1.65745856353591%,0,17792,3849,28.999999165535%,2850
197,Wythe County,407,20.3999996185303%,1,0.245700245700246%,0,12744,3060,11.9999997317791%,1999
199,York County,96,2.60000005364418%,0,0%,0,20701,1145,5.00000007450581%,3660
510,Alexandria city,1630,12.6000002026558%,4,0.245398773006135%,0,64251,14791,12.9999995231628%,12936
515,Bedford city,107,29.6000003814697%,0,0%,1,2702,719,36.0000014305115%,362
520,Bristol city,112,9.89999994635582%,1,0.892857142857143%,0,8469,2528,25.9999990463257%,1134
530,Buena Vista city,11,3.4000001847744%,0,0%,0,2716,934,18.0000007152557%,322
540,Charlottesville city,561,20.2999994158745%,1,0.17825311942959%,0,17591,4912,21.9999998807907%,2762
550,Chesapeake city,1080,5.99999986588955%,8,0.740740740740741%,2,72672,4603,10.9999999403954%,17950
570,Colonial Heights city,209,16.0999998450279%,2,0.956937799043062%,0,7340,1421,2.99999993294477%,1300
580,Covington city,128,39.5000010728836%,0,0%,0,3195,1610,20.9999993443489%,324
590,Danville city,858,25.9999990463257%,25,2.91375291375291%,4,23108,7659,40.9999996423721%,3298
595,Emporia city,115,30.5000007152557%,0,0%,1,2412,537,18.9999997615814%,377
600,Fairfax city,590,35.1999998092651%,2,0.338983050847458%,1,8204,613,1.99999995529652%,1678
610,Falls Church city,125,15.9999996423721%,0,0%,0,4725,1419,5.99999986588955%,779
620,Franklin city,100,10.5999998748302%,0,0%,0,3767,569,33.0000013113022%,941
630,Fredericksburg city,346,15.6000003218651%,3,0.867052023121387%,1,8888,2833,20.0000002980232%,2211
640,Galax city,176,34.0999990701675%,1,0.568181818181818%,0,3217,735,27.0000010728836%,516
650,Hampton city,1268,11.2000003457069%,8,0.630914826498423%,1,57311,8370,17.0000001788139%,11329
660,Harrisonburg city,421,13.6999994516373%,2,0.475059382422803%,0,13689,1895,23.9999994635582%,3066
670,Hopewell city,408,19.5999994874001%,4,0.980392156862745%,1,9749,2044,28.0000001192093%,2084
678,Lexington city,16,8.50000008940697%,2,12.5%,0,2376,1021,27.0000010728836%,188
680,Lynchburg city,918,17.0000001788139%,2,0.217864923747277%,4,27640,8561,25.9999990463257%,5397
683,Manassas city,1183,31.9999992847443%,1,0.084530853761623%,0,12114,563,7.99999982118607%,3698
685,Manassas Park city,513,35.8000010251999%,1,0.194931773879142%,0,3365,96,5.99999986588955%,1432
690,Martinsville city,97,10.4999996721745%,0,0%,0,7249,2317,27.0000010728836%,927
700,Newport News city,1558,8.69999974966049%,8,0.513478818998716%,3,74117,8384,23.0000004172325%,17886
710,Norfolk city,2727,12.0999999344349%,28,1.02676934360103%,6,94416,27201,28.0000001192093%,22616
720,Norton city,35,16.0999998450279%,0,0%,0,1946,517,46.000000834465%,217
730,Petersburg city,680,21.9999998807907%,21,3.08823529411765%,5,15955,3965,31.0000002384186%,3094
735,Poquoson city,22,3.70000004768372%,0,0%,0,4300,544,7.00000002980232%,597
740,Portsmouth city,1042,10.8000002801418%,10,0.959692898272553%,4,41605,12267,28.0000001192093%,9606
750,Radford city,83,11.2999998033047%,0,0%,0,6137,1432,12.9999995231628%,737
760,Richmond city,4303,25%,86,1.99860562398327%,35,92282,38192,33.0000013113022%,17206
770,Roanoke city,1596,23.199999332428%,21,1.31578947368421%,6,45257,15874,28.0000001192093%,6893
775,Salem city,390,26.8999993801117%,4,1.02564102564103%,1,10403,2188,5.00000007450581%,1450
790,Staunton city,252,15.0999993085861%,4,1.58730158730159%,1,10427,3629,14.0000000596046%,1669
800,Suffolk city,988,13.1999999284744%,10,1.01214574898785%,1,24704,4527,17.0000001788139%,7457
810,Virginia Beach city,1615,4.50000017881393%,0,0%,0,162277,5023,9.00000035762787%,36209
820,Waynesboro city,139,7.69999995827675%,1,0.719424460431655%,0,8863,2355,23.0000004172325%,1796
830,Williamsburg city,8,0.800000037997961%,0,0%,0,3880,739,37.9999995231628%,963
840,Winchester city,334,14.6999999880791%,3,0.898203592814371%,1,10587,3387,20.0000002980232%,2275
289,Unknown,n,,n,#VALUE!,n,,,,
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Virginia Confirmed Cases 2007,,434,,,,,,,
