FIPS,county,totaltested,totalpos,percent
54091,Taylor County,718,28,3.8997214484679668
54093,Tucker County,250,7,2.8000000000000003
54095,Tyler County,278,7,2.5179856115107913
54097,Upshur County,639,21,3.286384976525822
54099,Wayne County,1627,38,2.3355869698832206
54101,Webster County,319,13,4.075235109717868
54103,Wetzel County,851,25,2.937720329024677
54105,Wirt County,158,5,3.1645569620253164
54107,Wood County,2195,60,2.733485193621868
54109,Wyoming County,1043,13,1.2464046021093003
